Code;Date;Aeshna;Agabus;Anacaena;Anax;Ancylus;Anisus;Anopheles;Aquarius;Arctocorixa;Atrichopogon;Atrichops;Baetis;Beraea;Berdeniella;Berosus;Bezzia;Bidessus;Boyeria;Brachypogon;Brillia;Caenis;Calopteryx;Centroptilum;Ceriagrion;Chalcolestes;Chironominii;Chironomus;Chrysopilus;Chrysops;Clinocera;Cloeon;Cordulegaster;Corynoneura;Culex;Culicoides;Dasyhelea;Deronectes;Dicranota;Dixa;Dixella;Dryops;Dugesia;Dytiscus;Echinogammarus;Elodes;Erpobdella;Erythromma;Eukiefferiella;Forcypomynia;Gerris;Glossiphonia;Gomphus;Graptodytes;Gyrinus;Habrophlebia;Halesus;Haliplus;Helius;Helochares;Helophorus;Hemerodromia;Electrogena;Hexatoma;Hydracarina;Hydraena;Hydrocyphon;Hydrometra;Hydrophilus;Hydroporus;Hydropsyche;Hydroptila;Isoperla;Laccobius;Laccophilus;Leuctra;Limnebius;Limnephilus;Limnophora;Lispe;Lymnaea;Macropelopinii;Micronecta;Microvelia;Molophilus;Mystacides;Naucoris;Nemoura;Nepa;Nilobezzia;Noterus;Notonecta;Ochthebius;Oligochaeta;Onychogomphus;Orthetrum;Orthocladiinae;Oulimnius;Oxycera;Oxyethira;Procambarus;Paracymus;Parasigara;Paratrichocladius;Peltodytes;Pentaneurinii;Pericoma;Philopotamus;Physa;Plea;Plectrocnemia;Polycentropus;Potamopyrgus;Procloeon;Prodiamesa;Psychoda;Pyrrhosoma;Radix;Riolus;Serratella;Setodes;Sialis;Simulium;Sphaerium;Stactobia;Stictonectes;Stratiomys;Sympetrum;Tachytrechus;Tanytarsinii;Thraulus;Tinodes;Tipula;Tonnoiriella;Velia;Wormaldia
CA1;20/05/2019;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;58;0;3;0;2;1392;0;0;0;0;0;0;48;0;1;6;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;96;10;0;0;0;0;0;0;0;0;3;0;0;5;0;528;0;0;0;0;0;0;0;0;336;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;1;6;0;1;0;10;1;5856;0;3;2;0;0;0
CA2;20/05/2019;0;4;0;0;0;0;0;0;0;0;0;74;0;0;0;47;1;0;1;0;2;0;14;0;122;672;0;0;0;0;0;0;192;0;2;2;0;0;1;4;0;0;0;0;0;0;0;32;0;2;0;0;1;0;174;0;0;0;0;0;1;0;0;7;1;0;0;0;0;1;2;0;8;0;0;0;0;2;0;0;32;0;0;0;1;0;4;1;0;0;4;0;0;0;0;576;0;2;0;0;0;0;0;0;400;0;0;0;0;0;0;0;0;16;0;0;10;0;0;0;0;3;6;0;20;0;2;0;1792;0;1;1;0;2;0
CA3;20/05/2019;8;4;0;0;0;0;0;0;0;1;0;173;0;0;0;11;0;0;0;8;25;0;11;0;55;176;0;1;0;0;0;2;344;0;1;1;0;8;2;4;0;0;0;0;6;0;0;184;0;0;0;0;0;0;368;0;0;0;0;0;2;0;0;4;1;0;0;0;0;1;0;0;7;0;0;0;1;4;0;0;16;0;0;0;0;0;13;0;0;0;11;0;0;0;0;464;0;3;0;0;0;0;0;0;152;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;96;0;0;0;0;7;0;640;0;0;0;0;4;0
CA4;20/05/2019;3;4;0;0;0;0;0;0;0;0;0;2;0;0;0;36;0;0;0;7;5;0;0;0;7;39;0;0;0;1;0;0;7;0;0;3;1;0;1;0;0;0;0;1;0;0;0;4;0;2;0;0;1;0;60;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;5;1;0;0;7;0;0;0;0;37;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;39;0;1;0;4;0;0;0;0;8;0
H1;27/05/2019;6;2;0;0;0;0;0;0;74;0;0;4;0;0;0;50;0;0;0;8;56;1;0;0;92;968;0;0;0;0;15;0;128;0;0;0;1;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;2;560;1;5;0;0;0;14;0;0;16;0;0;0;0;0;1;0;7;1;0;0;0;6;0;0;0;352;0;0;0;0;0;0;1;0;0;2;0;0;0;0;168;14;4;0;0;0;0;0;0;200;1;0;1;0;4;5;0;0;16;0;4;4;0;164;0;6;2;0;0;84;0;0;0;224;224;0;0;0;0;1
H2;27/05/2019;1;15;0;0;1;0;0;0;4;0;2;1280;0;9;0;160;0;0;77;16;46;0;0;0;68;864;0;0;2;0;0;2;416;0;8;0;3;14;0;0;0;0;0;0;3;0;0;48;0;0;0;0;2;1;613;0;14;0;0;0;16;0;0;38;0;0;0;0;0;16;8;10;3;0;0;0;1;0;0;0;32;0;0;0;0;0;0;0;0;0;8;0;1;0;0;976;19;2;0;0;0;0;0;0;432;5;0;2;0;0;4;0;0;80;0;0;2;0;296;0;3;118;1;0;117;0;0;0;880;0;0;1;1;5;0
H5;27/05/2019;19;11;0;0;0;1;0;0;0;1;0;144;0;0;0;2;0;0;0;16;0;0;0;0;64;112;0;0;0;2;0;0;560;0;0;0;11;6;3;0;0;0;0;364;3;0;0;0;0;0;1;0;1;0;72;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;4;0;5;0;0;0;0;1;0;0;144;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1024;0;5;0;0;0;0;0;0;800;5;0;0;0;0;0;0;0;16;1;0;0;0;0;0;0;254;0;0;66;0;0;0;608;0;0;0;2;0;0
MU1;21/05/2019;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;1;0;0;0;3;22;0;0;0;0;0;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;60;0;3;0;0;0;0;0;0;1;0;0;1;0;0;0;3;0;44;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;1;0;1;0;0;27;0;9;0;0;0;0;0;0;23;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;1;0;0;200;0;3;0;14;0;0;0;1;7;0
MU2;21/05/2019;0;39;0;0;0;0;0;0;0;0;0;276;0;0;0;3;0;0;0;21;1;0;0;0;1;53;43;0;0;0;0;1;235;0;0;0;0;1;4;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;56;0;11;0;0;0;0;3;0;0;32;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1739;0;1;0;0;0;0;0;0;43;2;0;0;0;0;0;0;0;21;0;0;7;0;0;0;0;661;0;0;2;0;0;0;555;0;0;0;3;7;0
MU3;21/05/2019;0;20;0;0;0;2;0;0;0;0;0;666;1;0;0;3;0;0;2;0;0;0;0;0;1;112;80;0;0;0;0;0;288;0;2;0;0;0;2;0;1;0;0;0;1;1;0;48;0;0;0;0;0;0;22;0;1;0;0;0;0;0;0;2;0;0;2;0;0;0;94;0;30;0;0;0;0;2;0;0;16;0;0;0;0;0;0;0;0;0;1;0;81;0;0;2544;0;5;0;0;0;0;0;0;32;2;0;0;0;0;0;0;0;16;0;0;5;0;0;0;0;672;0;0;0;0;0;0;592;0;0;2;5;3;0
MU4;21/05/2019;0;10;0;0;0;0;0;0;0;0;0;35;0;0;0;8;0;0;0;0;2;0;0;0;0;119;0;0;0;0;0;0;113;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;25;0;12;0;0;0;0;0;0;12;1;0;5;0;0;1;22;0;28;0;0;0;0;0;0;0;31;0;0;0;0;0;3;3;0;0;1;0;14;0;0;320;0;4;0;0;0;0;0;0;113;0;0;0;0;0;0;0;0;7;0;0;8;0;0;0;0;27;0;0;0;0;1;0;452;0;0;2;0;2;0
R4;27/05/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;6;0;0;0;1;77;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;3;2;1;0;0;0;0;0;0;0;0;11;0;0;0;2;6;0;0;0;0;1;0;0;0;85;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;4;0;12;0;0;0;0;0;0
SA1;23/05/2019;10;5;0;4;1;0;0;0;0;0;0;34;0;0;0;5;0;4;8;0;16;3;11;0;22;0;0;0;0;0;0;0;160;0;0;3;7;1;0;1;3;0;2;0;0;0;0;0;0;10;0;0;0;2;112;0;5;0;0;0;0;0;0;12;1;0;1;0;1;0;13;0;4;1;5;0;5;0;0;0;0;15;0;0;0;0;20;0;0;0;19;0;0;0;0;296;22;0;0;0;0;3;0;2;184;0;0;11;0;2;0;8;0;0;0;11;16;1;0;4;0;4;0;0;1;0;4;0;136;0;0;2;5;2;0
SA2;23/05/2019;0;12;0;5;0;1;0;0;0;0;0;5;0;0;0;37;0;0;0;0;32;2;0;52;51;104;0;0;0;0;21;0;24;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;136;0;30;2;0;0;3;0;0;64;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;32;0;2;0;0;6;3;0;0;1;23;0;4;1;1;136;0;1;0;0;0;49;0;9;208;0;1;28;0;0;0;1;0;0;0;0;164;0;0;0;13;0;1;0;11;0;6;0;200;0;0;0;0;0;0
SA3;23/05/2019;0;0;0;5;0;0;0;0;0;0;0;28;0;0;0;12;0;0;0;32;54;4;0;9;22;212;0;0;0;0;0;1;208;0;0;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;133;0;2;0;0;0;17;0;0;11;0;0;0;0;0;0;2;0;1;0;4;0;0;0;0;0;64;1;3;0;0;0;1;0;0;0;4;0;0;0;1;120;2;2;0;0;0;0;0;0;92;0;0;3;0;0;0;0;0;0;0;8;2;1;0;0;0;14;0;0;1;0;0;0;60;0;0;0;0;0;0
SA4;23/05/2019;0;0;0;0;0;0;1;0;0;0;0;42;0;0;0;19;1;0;0;0;19;3;0;13;10;136;0;0;0;0;12;0;152;3;0;23;1;0;0;1;4;0;0;0;0;0;0;0;0;16;0;1;0;1;36;0;3;0;0;0;3;0;0;12;0;0;6;0;0;6;3;0;11;0;6;0;0;0;0;0;16;0;4;0;0;1;5;0;0;0;16;0;3;0;4;160;0;22;0;0;0;0;0;0;184;1;0;3;0;0;0;0;0;0;0;10;2;0;0;0;1;90;0;0;2;0;4;0;240;0;2;1;0;0;0
SA5;23/05/2019;0;3;0;6;0;0;0;0;0;0;0;18;0;0;0;11;1;0;0;0;30;6;0;3;26;64;0;0;0;0;7;0;96;8;0;29;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;22;0;0;0;0;0;0;0;0;21;0;0;2;0;0;1;5;0;7;0;3;0;1;0;0;2;16;10;0;0;0;0;1;1;0;0;94;0;0;0;11;272;0;12;0;0;0;0;0;4;256;0;0;2;0;0;0;0;0;0;0;11;0;0;0;0;0;1;0;0;53;0;0;0;240;0;2;0;0;0;0
SC1;27/05/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22;4;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;10;0;0;0;0;2;0;0;0;0;0;0;0;1;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;27;0;0;0;0;0;4;8;7;1;0;1;0;0;0;0;1;0;4;0;696;0;0;13;0;4;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;4;0;0;11;5;0;0;6;0;0;0
SC2;27/05/2019;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
SC3;27/05/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;106;0;0;0;2;6;0;0;0;0;114;0;0;2;1;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;2;0;0;8;0;0;0;0;19;0;0;0;0;0;0;0;0;22;0;0;4;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;5;23;0;11;0;0;1;0;0;0
SC4;27/05/2019;6;2;1;0;0;0;0;0;4;0;0;4;0;0;1;3;0;0;0;0;17;0;0;0;33;134;0;0;0;0;35;0;35;68;14;0;0;0;0;19;3;0;0;0;0;0;1;0;0;10;0;0;1;7;26;0;1;0;0;0;0;0;0;4;0;4;1;1;0;0;0;0;14;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;25;0;0;0;0;131;0;0;0;0;0;0;0;0;80;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;1;0;0;47;0;3;0;38;0;0;3;0;0;0
T1;22/05/2019;0;2;0;0;0;0;0;10;0;0;0;38;1;0;0;38;0;0;0;0;32;0;0;0;1;296;0;0;0;0;0;0;32;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;15;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;5;0;9;0;0;0;0;0;0;2;80;0;0;0;0;0;0;0;0;0;3;0;0;1;0;104;1;7;2;0;0;0;16;0;104;0;0;3;0;0;0;0;27;0;1;0;1;0;0;0;0;4;0;6;0;0;1;0;560;0;6;1;1;4;0
T2;22/05/2019;0;1;0;1;0;0;0;12;0;0;0;0;0;0;0;28;0;0;0;0;90;0;0;0;2;155;0;0;0;0;0;0;5;0;2;10;0;0;2;1;1;0;0;0;0;0;0;0;0;11;0;0;0;0;17;0;0;0;0;0;3;0;0;2;0;0;1;0;0;0;0;0;88;0;0;0;0;0;0;3;91;1;0;0;0;0;0;0;0;0;10;1;0;4;0;21;3;2;0;0;0;0;0;0;214;0;0;6;0;0;0;0;76;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;528;0;4;1;1;0;0
T3;22/05/2019;0;0;0;0;0;0;0;0;0;0;0;162;0;0;0;5;12;0;0;0;54;0;0;0;3;435;0;0;0;0;0;0;102;1;2;8;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;57;0;0;0;0;0;0;0;0;128;0;0;0;0;0;0;6;0;37;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;3;0;1;2;1;627;1;14;0;0;0;0;0;0;230;0;0;34;0;0;0;0;36;0;0;0;1;0;0;0;0;87;0;0;0;0;4;0;1088;0;2;0;2;3;0
T4;22/05/2019;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;0;0;0;30;0;0;0;96;20;0;0;0;0;0;0;28;13;2;12;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;1;409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;6;2;0;0;0;6;0;0;0;0;0;13;0;0;6;0;22;0;1;0;1;0;0;0;0;58;0;0;9;0;0;0;0;7;0;0;0;2;0;0;0;0;0;0;0;1;0;9;0;68;13;0;1;0;0;0
